Authors,Title,Year,Source title,Volume,Page start,Page end,DOI,Link,Author Keywords,Index Keywords,Source
"Karpudewan M., Roth W.-M., Abdullah M.N.S.B.",Enhancing Primary School Students’ Knowledge about Global Warming and Environmental Attitude Using Climate Change Activities,2015,International Journal of Science Education,37,31,54,10.1080/09500693.2014.958600,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84911499377&doi=10.1080%2f09500693.2014.958600&partnerID=40&md5=73019c4218c124611a9813d2f1cef8fd,Attitude towards environment; Climate change activities; Global warming,,Scopus
"Faria F., Klima K., Posen I.D., Azevedo I.M.L.","A new approach of science, technology, engineering, and mathematics outreach in climate change, energy, and environmental decision making",2015,Sustainability (United States),8,261,271,10.1089/SUS.2015.29023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945979851&doi=10.1089%2fSUS.2015.29023&partnerID=40&md5=bb0b2eb0c51af26aa2f5ad5eb2803e75,,climate change; decision making; engineering; environmental education; mathematical analysis; science and technology; student; United States,Scopus
"Besong F., Holland C.","The Dispositions, Abilities and Behaviours (Dab) Framework for Profiling Learners' Sustainability Competencies in Higher Education",2015,Journal of Teacher Education for Sustainability,17,5,22,10.1515/jtes-2015-0001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943808176&doi=10.1515%2fjtes-2015-0001&partnerID=40&md5=88453b5d6a8d2e087e4021174c87cb2a,abilities; behaviours; dispositions; higher education; sustainability; sustainability competencies,,Scopus
Kolbe K.D.,"Knowledge, Attitudes and Behaviour regarding Waste Management in a Grammar and a Comprehensive School in England - Results from a School Questionnaire",2015,Journal of Teacher Education for Sustainability,17,58,71,10.1515/jtes-2015-0005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943755091&doi=10.1515%2fjtes-2015-0005&partnerID=40&md5=0640b71645d994cb3cc342cd222be003,education for sustainable development; environmental education; selective education; sustainable development; waste hierarchy; waste management; waste management,,Scopus
Hufnagel E.,Preservice elementary teachers' emotional connections and disconnections to climate change in a science course,2015,Journal of Research in Science Teaching,52,1296,1324,10.1002/tea.21245,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942819595&doi=10.1002%2ftea.21245&partnerID=40&md5=4a9fe05026216f76bbc945c539263787,climate change; discourse analysis; emotional response; science teacher education,Education; Semantics; Teaching; Discourse analysis; Elementary teachers; Emotional connections; Emotional engagements; Emotional expressions; Emotional response; Science teachers; Scientific issues; Climate change,Scopus
"Colston N.M., Ivey T.A.",(un)Doing the Next Generation Science Standards: climate change education actor-networks in Oklahoma,2015,Journal of Education Policy,30,773,795,10.1080/02680939.2015.1011711,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942197236&doi=10.1080%2f02680939.2015.1011711&partnerID=40&md5=e44754e084647f5bd7a6bf12926053ca,actor-network theory; climate change; education policy; science education; science standards,,Scopus
"Gold A.U., Kirk K., Morrison D., Lynds S., Sullivan S.B., Grachev A., Persson O.",Arctic climate connections curriculum: A model for bringing authentic data into the classroom,2015,Journal of Geoscience Education,63,185,197,10.5408/14-030.1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941360514&doi=10.5408%2f14-030.1&partnerID=40&md5=c35d3db5dfa094bd2061f34d2241ba89,Arctic; Broader impacts; Climate education; Curriculum development; Data; Excel; Google earth; Inquiry; Professional development workshop,arctic environment; curriculum; data set; geography education; Internet; learning; physical geography; Arctic,Scopus
"Trenberth K.E., Fasullo J.T., Shepherd T.G.",Attribution of climate extreme events,2015,Nature Climate Change,5,725,730,10.1038/nclimate2657,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937826016&doi=10.1038%2fnclimate2657&partnerID=40&md5=6fca32ee2a818bc82037f5004d051aa2,,climate change; climate forcing; extreme event; flood; human activity; sea surface temperature; signal-to-noise ratio; thermodynamics; typhoon; Philippines,Scopus
"Theobald E.J., Crowe A., Hillerislambers J., Wenderoth M.P., Freeman S.",Women learn more from local than global examples of the biological impacts of climate change,2015,Frontiers in Ecology and the Environment,13,132,137,10.1890/140261,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926617662&doi=10.1890%2f140261&partnerID=40&md5=c9a79dfa869b0962c08aad00ed77616f,,climate change; conceptual framework; educational development; environmental education; frequency analysis; gender role; state role,Scopus
"Cebrián G., Junyent M.",Competencies in education for sustainable development: Exploring the student teachers' views,2015,Sustainability (Switzerland),7,2768,2786,10.3390/su7032768,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926360258&doi=10.3390%2fsu7032768&partnerID=40&md5=a20e0af7f85748682b81f68639e61020,Education for sustainable development; Higher education; Professional competencies; Student perception; Teacher education,education policy; educational development; higher education; perception; policy making; questionnaire survey; student; sustainability; sustainable development; teaching; theoretical study,Scopus
Herman B.C.,The Influence of Global Warming Science Views and Sociocultural Factors on Willingness to Mitigate Global Warming,2015,Science Education,99,1,38,10.1002/sce.21136,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919680260&doi=10.1002%2fsce.21136&partnerID=40&md5=b204e890f26458bcae1656bd6374411c,,,Scopus
"Capstick S., Whitmarsh L., Poortinga W., Pidgeon N., Upham P.",International trends in public perceptions of climate change over the past quarter century,2015,Wiley Interdisciplinary Reviews: Climate Change,6,35,61,10.1002/wcc.321,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84914817669&doi=10.1002%2fwcc.321&partnerID=40&md5=1e1b957786ad914b12720275d3a1a49c,,Statistical methods; Conflict of interest; Conflicts of interest; Developed countries; Empirical research; International scale; Longitudinal components; Public understanding; Qualitative research; Climate change,Scopus
"Van Poeck K., Vandenabeele J., Bruyninckx H.",Taking stock of the UN Decade of education for sustainable development: the policy-making process in Flanders,2014,Environmental Education Research,20,695,717,10.1080/13504622.2013.836622,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926196733&doi=10.1080%2f13504622.2013.836622&partnerID=40&md5=776459af12db1b2ddf163bfa53e68ba2,ecological modernisation; education for sustainable development; ESD; governmentalisation; policy-making; UN Decade of ESD,,Scopus
"Otieno C., Spada H., Liebler K., Ludemann T., Deil U., Renkl A.","Informing about climate change and invasive species: how the presentation of information affects perception of risk, emotions, and learning",2014,Environmental Education Research,20,612,638,10.1080/13504622.2013.833589,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926153929&doi=10.1080%2f13504622.2013.833589&partnerID=40&md5=1f5166cefe668a177f8ab78bd38f5c2b,climate change communication; emotions; environmental education; invasive species; perception of risk,,Scopus
"Pipere A., Mičule I.",Mathematical identity for a sustainable future: An interpretative phenomenological analysis,2014,Journal of Teacher Education for Sustainability,16,5,31,10.2478/jtes-2014-0001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908022250&doi=10.2478%2fjtes-2014-0001&partnerID=40&md5=19f353a6f48ff2fbe8887dd1d3c0ea98,Competences for educators in education for sustainable development; Dialogical self; Interpretative phenomenological analysis; Mathematical identity; Mathematics teachers; Social constructionism,,Scopus
"Boyes E., Stanisstreet M., Skamp K., Rodriguez M., Malandrakis G., Fortner R.W., Kilinc A., Taylor N., Chhokar K., Dua S., Ambusaidi A., Cheong I.P.-A., Kim M., Yoon H.-G.",An international study of the propensity of students to limit their use of private transport in light of their understanding of the causes of global warming,2014,International Research in Geographical and Environmental Education,23,142,165,10.1080/10382046.2014.891425,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899981641&doi=10.1080%2f10382046.2014.891425&partnerID=40&md5=f1bc2e607944b6d6411c17d7cb0426a0,climate change; cultural differences; environmental action; environmental education; global warming; personal transport,environmental education; environmental management; environmental planning; global warming; perception; student; transportation mode,Scopus
Tyson R.V.,The merits of separating global warming from extension education sustainability programs,2014,Journal of Extension,52,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894607758&partnerID=40&md5=81710bd58c05a2f3efd965038a9c19fd,,,Scopus
"Hankivsky O., Grace D., Hunting G., Giesbrecht M., Fridkin A., Rudrum S., Ferlatte O., Clark N.",An intersectionality-based policy analysis framework: Critical reflections on a methodology for advancing equity,2014,International Journal for Equity in Health,13,,,10.1186/s12939-014-0119-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84965183581&doi=10.1186%2fs12939-014-0119-x&partnerID=40&md5=f256883cb1f291c66caa935b0f98c78d,Equity; Health; Intersectionality; Policy analysis; Reflexivity,"civil society; conceptual framework; equity; health policy; policy analysis; public health; stakeholder; Article; case study; clinical practice; conceptual framework; consultation; health care policy; health equity; health practitioner; intersectionality based policy analysis framework; knowledge; medical history; methodology; personal experience; politics; population research; priority journal; public health problem; social aspect; social problem; Canada; Fetal Alcohol Spectrum Disorders; health care disparity; health disparity; health service; health services research; HIV Infections; human; indigenous health care; management; nonbiological model; organization and management; palliative therapy; procedures; serodiagnosis; standards; AIDS Serodiagnosis; Canada; Fetal Alcohol Spectrum Disorders; Health Policy; Health Services, Indigenous; Health Status Disparities; Healthcare Disparities; HIV Infections; Humans; Maternal Health Services; Models, Organizational; Organizational Case Studies; Palliative Care; Policy Making",Scopus
"Stevenson K.T., Peterson M.N., Bondell H.D., Moore S.E., Carrier S.J.",Overcoming skepticism with education: interacting influences of worldview and climate change knowledge on perceived climate change risk among adolescents,2014,Climatic Change,126,293,304,10.1007/s10584-014-1228-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919877299&doi=10.1007%2fs10584-014-1228-7&partnerID=40&md5=a03ad75f241934bfe79482afaba2fc64,,"Global warming; Anthropogenic global warming; Climate change risks; Knowledge level; Middle school students; North Carolina , USA; Percentage points; Science literacy; Statistical differences; Risk perception",Scopus
"Flora J.A., Saphir M., Lappé M., Roser-Renouf C., Maibach E.W., Leiserowitz A.A.",Evaluation of a national high school entertainment education program: The Alliance for Climate Education,2014,Climatic Change,127,419,434,10.1007/s10584-014-1274-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84911953279&doi=10.1007%2fs10584-014-1274-1&partnerID=40&md5=ce321323ca195f57cf796ee877d890e7,,Education programs; High school; climate change; education; educational development; environmental issue; global warming; risk factor; science and technology; United States,Scopus
Wang T.H.,Implementation of Web-based argumentation in facilitating elementary school students to learn environmental issues,2014,Journal of Computer Assisted Learning,30,479,496,10.1111/jcal.12061,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908492483&doi=10.1111%2fjcal.12061&partnerID=40&md5=b7cb87c79a50a632a30f8d318ec5e97a,E-Learning; Environmental education; Web-based argumentation,,Scopus
"Bolis I., Morioka S.N., Sznelwar L.I.",When sustainable development risks losing its meaning. Delimiting the concept with a comprehensive literature review and a conceptual model,2014,Journal of Cleaner Production,83,7,20,10.1016/j.jclepro.2014.06.041,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908246368&doi=10.1016%2fj.jclepro.2014.06.041&partnerID=40&md5=3610b411e50a572b034fee2870b136e8,Axiological perspective; Comprehensive review; Decision-making processes; Environmental; Sustainability; Sustainable development,Axiological perspective; Conceptual model; Decision making process; Environmental; Literature reviews; Sustainable development,Scopus
"Ellins K.K., Ledley T.S., Haddad N., McNeal K., Gold A., Lynds S., Libarkin J.",EarthLabs: Supporting teacher professional development to facilitate effective teaching of climate science,2014,Journal of Geoscience Education,62,330,342,10.5408/13-059.1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908115774&doi=10.5408%2f13-059.1&partnerID=40&md5=491fe981ee0cfbe2d29be4a225a02766,Climate science; Curriculum design; Secondary education; Teacher professional development,,Scopus
"Hestness E., McDonald R.C., Breslyn W., Randy McGinnis J., Mouza C.",Science teacher professional development in climate change education informed by the next generation science standards,2014,Journal of Geoscience Education,62,319,329,10.5408/13-049.1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908098682&doi=10.5408%2f13-049.1&partnerID=40&md5=874f8c70471892d9442909813fc4ce1a,Climate change education; Learning progressions; Next Generation Science Standards; Science teacher education,,Scopus
"Lambert J.L., Bleicher R.E.",Improving climate change communication starting with environmental educators,2014,Journal of Geoscience Education,62,388,401,10.5408/13-062.1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908097852&doi=10.5408%2f13-062.1&partnerID=40&md5=2dddfd3efe78333bad67a4310d439379,Argumentation; Assessment; Climate change communication; Climate change education; Environmental education; Misconceptions,climate change; communication; curriculum; environmental education; global change; knowledge; perception; student,Scopus
"Bodzin A.M., Anastasio D., Sahagian D., Peffer T., Dempsey C., Steelman R.",Investigating climate change understandings of urban middle-level students,2014,Journal of Geoscience Education,62,417,430,10.5408/13-042.1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908087165&doi=10.5408%2f13-042.1&partnerID=40&md5=20f938d4cd9db706d71c5e1449af0746,Climate change; Climate literacy; Science curriculum,academic performance; climate change; curriculum; educational development; geography education; learning; secondary education; student,Scopus
"Holthuis N., Lotan R., Saltzman J., Mastrandrea M., Wild A.",Supporting and understanding students’ epistemological discourse about climate change,2014,Journal of Geoscience Education,62,374,387,10.5408/13-036.1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908086688&doi=10.5408%2f13-036.1&partnerID=40&md5=7c6dae817bfbef38e88f8b4c7144465d,Argumentation; Climate change education; Scientific practices; Student interaction,climate change; environmental education; global change; student; teaching,Scopus
"Guy S., Kashima Y., Walker I., O'Neill S.",Investigating the effects of knowledge and ideology on climate change beliefs,2014,European Journal of Social Psychology,44,421,429,10.1002/ejsp.2039,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904875768&doi=10.1002%2fejsp.2039&partnerID=40&md5=c08f1989533b4b1e13151351c5afbecb,,,Scopus
"Sellar S., Savage G.C., Gorur R.","The politics of disagreement in critical education policy studies: A response to Morsy, Gulson and Clarke",2014,Discourse,35,462,469,10.1080/01596306.2014.890269,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84900496282&doi=10.1080%2f01596306.2014.890269&partnerID=40&md5=d6bec0c7efef9a762a17f3b827ea9369,critique; equity; markets; policy sociology; politics; Ranciere,,Scopus
"Morris H.L.C., Megalos M.A., Vuola A.J., Adams D.C., Monroe M.C.",Cooperative extension and climate change: Successful program delivery,2014,Journal of Extension,52,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899569287&partnerID=40&md5=984d0ccf5cbca45461c19e8b52640b0b,,,Scopus
Wibeck V.,"Enhancing learning, communication and public engagement about climate change - some lessons from recent literature",2014,Environmental Education Research,20,387,411,10.1080/13504622.2013.812720,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898545827&doi=10.1080%2f13504622.2013.812720&partnerID=40&md5=4a9c64a74eaa9ed240f0c831c4ee1871,climate change; communication; learning; non-formal education; public engagement; public understanding,,Scopus
"Zhao X., Maibach E., Gandy J., Witte J., Cullen H., Klinger B.A., Rowan K.E., Witte J., Pyle A.",Climate change education through TV weathercasts: Results of a field experiment,2014,Bulletin of the American Meteorological Society,95,117,130,10.1175/BAMS-D-12-00144.1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896513629&doi=10.1175%2fBAMS-D-12-00144.1&partnerID=40&md5=16b91cd4193787b23e15a184d645240d,,Climate change; Research; Daily lives; Digital news; Field experiment; Hurricane risk; Informal science education; Research center; Science education; Young peoples; Education,Scopus
"Tuck E., McKenzie M., McCoy K.","Land education: Indigenous, post-colonial, and decolonizing perspectives on place and environmental education research",2014,Environmental Education Research,20,1,23,10.1080/13504622.2013.877708,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893552218&doi=10.1080%2f13504622.2013.877708&partnerID=40&md5=6d291a0dc7a79b71700dbb420269b184,environmental education; indigenous perspectives on land and place; land education; place-based education; settler colonialism,,Scopus
"Du X., Su L., Liu J.",Developing sustainability curricula using the PBL method in a Chinese context,2013,Journal of Cleaner Production,61,80,88,10.1016/j.jclepro.2013.01.012,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886951582&doi=10.1016%2fj.jclepro.2013.01.012&partnerID=40&md5=c1d9cc1289d264dc84958cc067ef9e9f,Case study; China; Innovative pedagogy; PBL; Sustainability curriculum,China; Implementation process; Innovative pedagogy; Institutional support; PBL; Problem- and project-based learning; Teaching and learning methods; Theoretical framework; Curricula; Grading; Learning systems; Research; Sustainable development; Teaching; Students,Scopus
"De Castro R., Jabbour C.J.C.",Evaluating sustainability of an Indian university,2013,Journal of Cleaner Production,61,54,58,10.1016/j.jclepro.2013.02.033,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886949563&doi=10.1016%2fj.jclepro.2013.02.033&partnerID=40&md5=e782d38a578876259e8036170f46595e,Higher Education Institutions (HEI); India; Sustainability assessment; Sustainable Development,Direct observations; Field works; Higher education institutions; In-depth datum; India; Sustainability assessment; Planning; Sustainable development,Scopus
Green T.L.,Teaching (un)sustainability? University sustainability commitments and student experiences of introductory economics,2013,Ecological Economics,94,135,142,10.1016/j.ecolecon.2013.08.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883136395&doi=10.1016%2fj.ecolecon.2013.08.003&partnerID=40&md5=07d3073c45ab58a8e8e79f92e3e79bc0,Economics education; Student; Sustainability commitment; University,curriculum; economic theory; environmental economics; environmental education; student; sustainability; university sector; British Columbia; Canada,Scopus
NGSS Lead States,"Next Generation Science Standards: For States, By States",2013,"Next Generation Science Standards: For States, By States",1-Feb,1,504,10.17226/18290,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987788141&doi=10.17226%2f18290&partnerID=40&md5=586ae430ebca970a342b9890d80a7c1d,,,Scopus
"Sellmann D., Bogner F.X.",Effects of a 1-day environmental education intervention on environmental attitudes and connectedness with nature,2013,European Journal of Psychology of Education,28,1077,1086,10.1007/s10212-012-0155-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892148404&doi=10.1007%2fs10212-012-0155-0&partnerID=40&md5=67a18acb8d28945bb0c946afe1a7a7b9,Attitudes; Botanical garden; Climate change; Environmental education; Environmental values,,Scopus
"Aksan Z., Çelikler D.",Pre-service elementary teachers' perceptions and opinions about greenhouse effect,2013,Journal of Baltic Science Education,12,159,177,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877336354&partnerID=40&md5=4ebe223bf81bbcb757e1d25e30b4f36f,Global warming; Greenhouse effect; Pre-service elementary teachers,,Scopus
"Jin H., Zhan L., Anderson C.W.",Developing a Fine-Grained Learning Progression Framework for Carbon-Transforming Processes,2013,International Journal of Science Education,35,1663,1697,10.1080/09500693.2013.782453,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879687346&doi=10.1080%2f09500693.2013.782453&partnerID=40&md5=3c31212c9a25929e7850a8c421bd8932,Carbon-transforming processes; Learning progression; Scientific practices,,Scopus
Redman E.,Advancing educational pedagogy for sustainability: Developing and implementing programs to transform behaviors,2013,International Journal of Environmental and Science Education,8,1,34,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876001403&partnerID=40&md5=2087ad3967f212821e0fa83e8553c373,Environmentally responsible consumption; Pro-environmental actions; Sustainability competencies; Sustainability education; Transformative change,,Scopus
Lankester A.J.,Conceptual and operational understanding of learning for sustainability: A case study of the beef industry in north-eastern Australia,2013,Journal of Environmental Management,119,182,193,10.1016/j.jenvman.2013.02.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875243296&doi=10.1016%2fj.jenvman.2013.02.002&partnerID=40&md5=e86a6e5ee5e4be897b3ad8d8eaa0584b,Experiential learning; Extension; Farmer; Natural resource management; Social learning; Transformative learning,"adult; agroindustry; cattle; learning; livestock farming; perception; questionnaire survey; resource management; sustainability; article; Australia; beef; case study; environmental sustainability; experimentation; human; interview; learning; meat industry; personal experience; resource management; responsibility; teleconsultation; thinking; Adult; Aged; Animal Husbandry; Animals; Cattle; Conservation of Natural Resources; Cooperative Behavior; Ecosystem; Female; Humans; Interpersonal Relations; Learning; Male; Middle Aged; Models, Theoretical; Queensland; Australia",Scopus
"Baker J., Loxton J., Sherren K.",Using Art Elicitation to Deliver and Evaluate a Grade 4 Climate Change Instructional Module,2013,Applied Environmental Education and Communication,12,130,142,10.1080/1533015X.2013.824248,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884486661&doi=10.1080%2f1533015X.2013.824248&partnerID=40&md5=2c8dbf1b8b2738065daf640ca95831c1,,,Scopus
"Lee J.J., Ceyhan P., Jordan-Cooley W., Sung W.",GREENIFY: A Real-World Action Game for Climate Change Education,2013,Simulation and Gaming,44,349,365,10.1177/1046878112470539,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883474541&doi=10.1177%2f1046878112470539&partnerID=40&md5=6d85d6884c585e6a941ec7125aa6bc8f,accessibility; action-based learning; actionable knowledge; civic action; climate change; crowdsourcing; design rationale; empathy-based action; empowerment; engaging experience; gamification; informed action; peer-generated user content; pilot study; positive peer pressure; real-world action game; relevance; social networking,,Scopus
"Howe P.D., Markowitz E.M., Lee T.M., Ko C.-Y., Leiserowitz A.",Global perceptions of local temperature change,2013,Nature Climate Change,3,352,356,10.1038/nclimate1768,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875736556&doi=10.1038%2fnclimate1768&partnerID=40&md5=3710cfa9c3c5d697129c4789988d60c0,,adaptation; climate variation; global change; long-term change; mitigation; perception; temperature gradient,Scopus
"Chapman J.D., Aspin D.N.",A Problem-Solving Approach to Addressing Current Global Challenges in Education,2013,British Journal of Educational Studies,61,49,62,10.1080/00071005.2012.756166,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874415113&doi=10.1080%2f00071005.2012.756166&partnerID=40&md5=49da7558b36d9d73cc0304783851cff2,education; global; inclusive problem solving; learning; life chances; lifelong learning,,Scopus
"Adger W.N., Barnett J., Brown K., Marshall N., O'Brien K.",Cultural dimensions of climate change impacts and adaptation,2013,Nature Climate Change,3,112,117,10.1038/nclimate1666,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873197731&doi=10.1038%2fnclimate1666&partnerID=40&md5=402fbe33b0c7ac485a9a50855d659361,,climate change; climate effect; cultural change; cultural identity; risk assessment,Scopus
"Besar T.A., Hassan M.S.H., Bolong J., Abdullah R.","Exploring the levels of knowledge, attitudes and environment-friendly practices among young civil servants in Malaysia",2013,Pertanika Journal of Social Science and Humanities,21,21,38,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943227539&partnerID=40&md5=192eaf1380f30bb4c5587be7408925b7,Change agent; Empowerment programme; Environment-friendly practice; KAP Model; Recycling attitudes; Recycling knowledge; Recycling practice,,Scopus
"Rauch F., Steiner R.",Competences for Education for Sustainable Development in Teacher Education [Kompetence za poučevanje za trajnostni razvoj na področju izobraževanja učiteljev],2013,Center for Educational Policy Studies Journal,3,9,24,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894059808&partnerID=40&md5=a9289b9191db48d61d813d66d886e8a6,Competency model; Education for sustainable development; Teacher education,,Scopus
"Bertschy F., Künzli C., Lehmann M.",Teachers' competencies for the implementation of educational offers in the field of education for sustainable development,2013,Sustainability (Switzerland),5,5067,5080,10.3390/su5125067,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894026649&doi=10.3390%2fsu5125067&partnerID=40&md5=8e73a9bcd85f79f2eb1a7013ed196640,Csct-model; Ece-model; Education for Sustainable Development; Teacher competencies,curriculum; environmental education; numerical model; sustainable development; teacher training,Scopus
"Pol E., Castrechini A.",Disruption in education for sustainability? [¿Disrupción en la educación para la sostenibilidad?],2013,Revista Latinoamericana de Psicologia,45,333,347,10.14349/rlp.v45i3.1477,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892380501&doi=10.14349%2frlp.v45i3.1477&partnerID=40&md5=b84ac8bba0dd04015485bf3176d640c0,Childhood; Environmental education; Sustainability; University with nature; Youth,,Scopus
"Sellmann D., Bogner F.X.",Climate change education: Quantitatively assessing the impact of a botanical garden as an informal learning environment,2013,Environmental Education Research,19,415,429,10.1080/13504622.2012.700696,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84882249983&doi=10.1080%2f13504622.2012.700696&partnerID=40&md5=04bb2f2e749aaf91d530fe615030c165,botanical garden; climate change; cognitive achievement; environmental education; out-of-school learning,,Scopus
"Wheeler T., Von Braun J.",Climate change impacts on global food security,2013,Science,341,508,513,10.1126/science.1239402,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881061285&doi=10.1126%2fscience.1239402&partnerID=40&md5=4dad5fdeb2fade81666cd3d7af8a24ca,,carbon dioxide; drinking water; fossil fuel; methane; surface water; climate change; crop production; drinking water; food availability; food security; health risk; vulnerability; agricultural land; biomass production; burn; caloric intake; cassava; chronic disease; climate change; contamination; crop improvement; crop production; decision making; developing country; ecology; economic development; energy consumption; food availability; food insecurity; food security; greenhouse effect; greenhouse gas; harvest; health survey; household; human; human activities; land use; livestock; malnutrition; mental capacity; nutritional deficiency; nutritional status; obesity; physical activity; plant growth; plant physiology; political system; population growth; priority journal; review; sanitation; sea level rise; sociology; South Asia; sugarcane; systematic error; systematic review; tropics; underweight; United Nations,Scopus
"Monroe M.C., Oxarart A., Plate R.R.",A Role for Environmental Education in Climate Change for Secondary Science Educators,2013,Applied Environmental Education and Communication,12,4,18,10.1080/1533015X.2013.795827,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880074961&doi=10.1080%2f1533015X.2013.795827&partnerID=40&md5=e1fc4d890fe2917638b34969fa2fd762,,,Scopus
"Lozano R., Young W.",Assessing sustainability in university curricula: Exploring the influence of student numbers and course credits,2013,Journal of Cleaner Production,49,134,141,10.1016/j.jclepro.2012.07.032,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879887660&doi=10.1016%2fj.jclepro.2012.07.032&partnerID=40&md5=9200f7039810931838c80a752a186341,Curricula assessment; Number of credits; Number of students enrolled; STAUNCH® tool; Sustainability in universities; T-Test,Curricula; Education; Societies and institutions; Students; Teaching; Faculty of business; Number of credits; Number of students enrolled; Relative weights; Student numbers; T-tests; University curricula; University of Leeds; Sustainable development,Scopus
"Niebert K., Gropengiesser H.",Understanding and communicating climate change in metaphors,2013,Environmental Education Research,19,282,302,10.1080/13504622.2012.690855,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879059636&doi=10.1080%2f13504622.2012.690855&partnerID=40&md5=6da8273cebae7e1a1421aae2478e0447,analogy; climate change; conceptions; educational reconstruction; experientialism; metaphor,,Scopus
"Öhman J., Öhman M.",Participatory approach in practice: An analysis of student discussions about climate change,2013,Environmental Education Research,19,324,341,10.1080/13504622.2012.695012,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879059178&doi=10.1080%2f13504622.2012.695012&partnerID=40&md5=0e466c65777d06c8ff5119b18fe61727,classroom interaction; climate change; epistemological moves; participatory approach; video-recording,,Scopus
"Læssøe J., Feinstein N.W., Blum N.",Environmental education policy research - challenges and ways research might cope with them,2013,Environmental Education Research,19,231,242,10.1080/13504622.2013.778230,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877307202&doi=10.1080%2f13504622.2013.778230&partnerID=40&md5=c7ac1ece4ef7c68fb89f77e51509de1f,CCE; ESD; interactive research; policy,,Scopus
"Feinstein N.W., Jacobi P.R., Lotz-Sisitka H.","When does a nation-level analysis make sense? ESD and educational governance in Brazil, South Africa, and the USA",2013,Environmental Education Research,19,218,230,10.1080/13504622.2013.767321,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877296562&doi=10.1080%2f13504622.2013.767321&partnerID=40&md5=013fee281691f9e4ff6aa9099b78fb72,climate change; education for sustainable development; governance; international comparisons; policy; polycentric,,Scopus
"Feinstein N.W., Læssøe J., Blum N., Chambers D.",Challenging the premises of international policy reviews: An introduction to the review symposium,2013,Environmental Education Research,19,198,205,10.1080/13504622.2013.768603,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877280309&doi=10.1080%2f13504622.2013.768603&partnerID=40&md5=a4ac52d18e42ccb729590d874b011af5,climate change; education for sustainable development; governance; international comparisons; policy; role of research,,Scopus
