Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Molecular Sequence Numbers,Chemicals/CAS,Tradenames,Manufacturers,Funding Details,Funding Text 1,Funding Text 2,Funding Text 3,Correspondence Address,Editors,Sponsors,Publisher,Conference name,Conference date,Conference location,Conference code,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Hai L.T., Hai P.H., Dung T.A., Hens L.",7003465741;23488978800;8896325200;55821761900;,"Influencing factors on sustainable development: A case study in Quang Tri province, Vietnam",2010,"Environment, Development and Sustainability",12,1,,103,116,,11,10.1007/s10668-008-9183-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-73649098326&doi=10.1007%2fs10668-008-9183-y&partnerID=40&md5=6aa71d0119dbf2ca732591feca2cd595,"Institute of Geography, Vietnamese Academy of Science and Technology, 18 Hoang Quoc Viet, Cau Giay, Hanoi, Viet Nam; General Department of Preventive Medicine and Environmental Health, Ministry of Health, 138A Giang Vo, Ba Dinh, Hanoi, Viet Nam; Human Ecology Department, Faculty of Medicine and Pharmacy, Free University of Brussels, Laarbeeklaan 103, 1090 Brussels, Belgium","Hai, L.T., Institute of Geography, Vietnamese Academy of Science and Technology, 18 Hoang Quoc Viet, Cau Giay, Hanoi, Viet Nam; Hai, P.H., Institute of Geography, Vietnamese Academy of Science and Technology, 18 Hoang Quoc Viet, Cau Giay, Hanoi, Viet Nam; Dung, T.A., General Department of Preventive Medicine and Environmental Health, Ministry of Health, 138A Giang Vo, Ba Dinh, Hanoi, Viet Nam; Hens, L., Human Ecology Department, Faculty of Medicine and Pharmacy, Free University of Brussels, Laarbeeklaan 103, 1090 Brussels, Belgium","Background Sustainable development (SD) is a common concept. Knowledge and attitudes are essential in the SD process. This study assesses the knowledge, attitudes, and practices (KAP) of local people about SD. Aim To study the factors that influence the understanding of the concept, contents, and indicators of different aspects affecting the health and environmental issues. Methods A cross-sectional study was carried out from June to July 2007 among 546 households in the Quang Tri province. Data were gathered on basis of socio-demographic variables, namely age, gender, education, occupation, income, and region. Chi square tests and multivariate analysis were performed on the obtained data. The data were cleaned and analysed using SPSS 15.0 for windows. Results Occupation is related to knowledge, attitude, or practice. Income is related to knowledge or practice. Gender related to only attitude. Lastly, region is related to attitude or practice. The proportion of wrong understanding about SD is 2.0 times (95% CI: 1.3; 3.1, p < 0.001) higher than that of the people who have good understanding about it. The rate of willingness to do any related SD programmes of the people who understanding is 2.1 times (95% CI: 1.4; 3.2, p < 0.001) higher than that of the people who have bad one. Conclusions This study shows that knowledge on sustainability of the local communities is low. Occupation and income influence understanding of SD more than region, age, gender, and education. Most of the local people who do not understand SD in general, do not want to participate or act in SD programmes. © Springer Science+Business Media B.V. 2008.",Age; Attitude; Education; Gender; Income; Knowledge; Occupation; Practice; Quang Tri; Sustainable development; Vietnam,demography; environmental issue; local participation; multivariate analysis; public attitude; socioeconomic conditions; sustainable development; traditional knowledge; willingness to pay; Quang Tri; Viet Nam,,,,,,,,,"Hens, L.; Human Ecology Department, Laarbeeklaan 103, 1090 Brussels, Belgium; email: human.ecology@vub.ac.be",,,,,,,,1387585X,,EDSNB,,English,Environ. Dev. Sustainability,Article,Final,,Scopus,2-s2.0-73649098326
"Hägglund S., Samuelsson I.P.",14014199100;6701533401;,Early childhood education and learning for sustainable development and citizenship,2009,International Journal of Early Childhood,41,2,,49,63,,63,10.1007/BF03168878,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79951904122&doi=10.1007%2fBF03168878&partnerID=40&md5=e956a601171417e7e4d49ccd6ae71b72,"Faculty of Arts and Education, Karlstad University, 651 88 Karlstad, Sweden; Göteborg University, Sweden","Hägglund, S., Faculty of Arts and Education, Karlstad University, 651 88 Karlstad, Sweden; Samuelsson, I.P., Göteborg University, Sweden","Since the end of the 1980:s when OECD published the Brundtland report, in which the concept of sustainable development as a critical global issue was introduced, the role of education for global survival has been frequently discussed and explored, by politicians as well as researchers. In school curricula and educational practice, efforts have been made to include material and issues related to, for example, climate changes and nature resources in teaching and learning. Surprisingly little attention has however been paid to the question of the way (and on what premises) early childhood education might (and should) be involved. In this article we discuss some aspects of early childhood education with a bearing on its role in education for sustainable development. The fact that early childhood education belongs to the larger educational system means that global political and economical issues are involved when planning and conducting education for sustainability in pre-school as much as in the rest of the educational system. Recent changes in Swedish educational policy, characteristic traits in pre-school pedagogy and the pre-school child as learner of sustainability are commented upon and discussed.",Early childhood education; Education for sustainabel development (ESD),,,,,,,,,,"Hägglund, S.; Faculty of Arts and Education, , 651 88 Karlstad, Sweden; email: solveig.hagglund@kau.se",,,,,,,,207187,,,,English,Intl. J. Early Child.,Article,Final,"All Open Access, Green",Scopus,2-s2.0-79951904122
"Ciegis R., Ramanauskiene J., Martinkus B.",57198456359;35088836000;24468730900;,The concept of sustainable development and its use for sustainability scenarios [Darnaus vystymosi samprata ir jos naudojimas darnumo scenarijams],2009,Engineering Economics,2,62,,28,37,,154,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70349794681&partnerID=40&md5=98812dea57c66d345b9cb8204d696280,"Vilnius University, Kaunas Faculty of Humanities, Muitines str. 8, LT-44280 Kaunas, Lithuania; Vytautas Magnus University, Faculty of Economics and Management, K. Donelaicio st. 28, LT-44246 Kaunas, Lithuania; Kaunas University of Technology, K. Donelaicio str. 73, LT-44029 Kaunas, Lithuania","Ciegis, R., Vilnius University, Kaunas Faculty of Humanities, Muitines str. 8, LT-44280 Kaunas, Lithuania, Vytautas Magnus University, Faculty of Economics and Management, K. Donelaicio st. 28, LT-44246 Kaunas, Lithuania; Ramanauskiene, J., Kaunas University of Technology, K. Donelaicio str. 73, LT-44029 Kaunas, Lithuania; Martinkus, B., Kaunas University of Technology, K. Donelaicio str. 73, LT-44029 Kaunas, Lithuania","The problem of conceptual descriptions and evaluation of sustainable development are analyzed in the work. As the objectives, descriptions of the concept of sustainable development are analyzed and classified. Then the analysis of the concept of sustainable development is given. After this analysis the systematic view of the dimensions of sustainable development is provided. Methods of systematic scientific literature analysis, general and logical analysis, comparison and generalization were used for the research. Although the essence of the concept of sustainable development is clear enough, the exact interpretation and definition of sustainable development have caused strong discussions. Thus, we should take into consideration the fact that the concept of sustainable development may be difficult to understand and may have different meaning dependending on the analyzed literature on the concept in which it is used. For this reason, in the article we presented several descriptions of sustainable development that would include multiple aspects of this concept. Difficulties related to the definition of sustainability show that sustainable development is a complex and multidimensional issue, which combines efficiency, equity, and intergenerational equity based on economic, social, and environmental aspects. Debates on sustainable development presented in the literature can be classified into several thematic areas: a) conceptual; b) contextual; c) academic; and d) geopolitical, which are investigated in the article in more details. As a general concept, sustainable development encompasses three fundamental approaches: economic, environmental, and social development, which are interrelated and complementary. Traditionally, the concept of sustainable development involves three equivalent components: environmental, economic, and social development; as well as three dimensions of wellbeing, i.e. economic, ecological, and social, and their complex interrelations, which are investigated in article in more details. We tend to think that the analysis of sustainable development should be based on the assumption, indicating that sustainable development is based not on economic, social, ecological, or institutional dimensions, but rather on their system as an integrated whole. Not all relations identified in a sustainability analysis have the same relevance and the same meaning for the strategic instruments of regional sustainable development. Relations among sub-systems identified should be relocated in a logical structure, based on the intention of the cognitive tool being built. In order to attain this, a hierarchical framework with coherent sustainability logic is needed. Since sustainability issues should be analyzed and solved on the system levels where they develop and manifest themselves, one can consistently formulate respective aims of the sustainable development policy for separate dimensions (economic, ecological, social, and institutional) of sustainable development on each of these levels of economic development policy, thus obtaining the matrix of the aims of sustainability policy.",Dimensions of sustainability; Sustainability policy; Sustainable development,,,,,,,,,,"Ciegis, R.; Vilnius University, Muitines str. 8, LT-44280 Kaunas, Lithuania; email: remigijus.ciegis@aula.vukhf.lt",,,,,,,,13922785,,,,Lithuanian,Engg. Eco.,Article,Final,,Scopus,2-s2.0-70349794681
"Wiek A., Walter A.I.",8583970000;14044359900;,A transdisciplinary approach for formalized integrated planning and decision-making in complex systems,2009,European Journal of Operational Research,197,1,,360,370,,62,10.1016/j.ejor.2008.06.013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-59649127610&doi=10.1016%2fj.ejor.2008.06.013&partnerID=40&md5=a17b89269cc85e56157baa3802a3366c,"ETH Zurich, Institute for Environmental Decisions, Natural and Social Science Interface, 8092 Zurich, Switzerland","Wiek, A., ETH Zurich, Institute for Environmental Decisions, Natural and Social Science Interface, 8092 Zurich, Switzerland; Walter, A.I., ETH Zurich, Institute for Environmental Decisions, Natural and Social Science Interface, 8092 Zurich, Switzerland","Multi-sectoral systems, such as cities or regional economies, face strategic challenges of optimal development due to the complexity of interacting perspectives, interests, and preferences of decision-makers and stakeholders. In coping with these challenges, integrated approaches in strategic planning and decision support promise to generate more efficient and effective results than sectoral approaches. In this article, we follow the concept of operational research (OR) by applying a formalized approach to cross-sectoral integrated planning and decision-making in complex, i.e., multi-sectoral systems. The presented Transdisciplinary Integrated Planning and Synthesis (TIPS) approach relies on (soft) OR methods combined in a multi-methodological framework that is adapted to the cognitive skills and habits of the stakeholders and experts involved in mutual and joint learning processes (transdisciplinarity). This methodological contribution structures, formalizes, and empirically illustrates cross-sectoral integrated strategic planning step by step, and evaluates the TIPS methodology against requirements for integrated approaches derived from literature. © 2008 Elsevier B.V. All rights reserved.",Competition for scarce resources; Conflicts; Scenarios; Strategic planning; Transdisciplinarity,Competition; Decision support systems; Integrated control; Operating rooms; Strategic planning; Cognitive skills; Competition for scarce resources; Complex systems; Conflicts; Decision supports; Decision-makers; Integrated approaches; Integrated planning; Learning process; Methodological contributions; Methodological frameworks; Operational researches; Optimal development; Regional economies; Scenarios; Step by steps; Strategic challenges; Transdisciplinarity; Planning,,,,,,,,,"Wiek, A.; ETH Zurich, Natural and Social Science Interface, 8092 Zurich, Switzerland; email: awiek@ires.ubc.ca",,,,,,,,3772217,,EJORD,,English,Eur J Oper Res,Article,Final,,Scopus,2-s2.0-59649127610
"Mohan L., Chen J., Anderson C.W.",16313263900;55717788100;7404306638;,Developing a multi-year learning progression for carbon cycling in socio-ecological systems,2009,Journal of Research in Science Teaching,46,6,,675,698,,210,10.1002/tea.20314,https://www.scopus.com/inward/record.uri?eid=2-s2.0-68149169387&doi=10.1002%2ftea.20314&partnerID=40&md5=c489c35c1c9df49251bb4f5b455a7ac9,"Michigan State University, East Lansing, MI, United States","Mohan, L., Michigan State University, East Lansing, MI, United States; Chen, J., Michigan State University, East Lansing, MI, United States; Anderson, C.W., Michigan State University, East Lansing, MI, United States","This study reports on our steps toward achieving a conceptually coherent and empirically validated learning progression for carbon cycling in socio-ecological systems. It describes an iterative process of designing and analyzing assessment and interview data from students in upper elementary through high school. The product of our development process the learning progression itself is a story about how learners from upper elementary grades through high school develop understanding in an important and complex domain: biogeochemical processes that transform carbon in socio-ecological systems at multiple scales. These processes: (a) generate organic carbon (photosynthesis), (b) transform organic carbon (biosynthesis, digestion, food webs, carbon sequestration), and (c) oxidize organic carbon (cellular respiration, combustion). The primary cause of global climate change is the current worldwide imbalance among these processes. We identified Levels of Achievement, which described patterns in the way students made progress toward more sophisticated reasoning about these processes. Younger learners perceived a world where events occurred at a macroscopic scale and carbon sources, such as foods and fuels, were treated as enablers of life processes and combustion rather than sources of matter transformed by those processes. Students at the transitional levels levels 2 and 3 traced matter in terms of materials changed by hidden mechanisms (level 2) or changed by chemical processes (level 3). More advanced students (level 4) used chemical models to trace matter through hierarchically organized systems that connected organisms and inanimate matter. Although level 4 reasoning is consistent with current national standards, few high school students reasoned this way consistently. We discuss further plans for conceptual and empirical validation of the learning progression. @copy; 2009 Wiley Periodicals, Inc.",Learning progressions; Student reasoning; Tracing matter,Biogeochemical process; Carbon cycling; Carbon sequestration; Carbon source; Cellular respiration; Chemical model; Chemical process; Complex domains; Development process; Ecological systems; Empirical validation; Food webs; Global climate changes; High school; High school students; Iterative process; Learning progressions; Level 2; Level 4; Life process; Macroscopic scale; Multiple scale; National standard; Student reasoning; Tracing matter; Biochemistry; Climate change; Combustion; Ecology; Photosynthesis; Students; Thermochemistry; Organic carbon,,,,,,,,,"Mohan, L.; Michigan State University, East Lansing, MI, United States; email: mohanlin@msu.edu",,,,,,,,224308,,JRSTA,,English,J. Res. Sci. Teach.,Article,Final,,Scopus,2-s2.0-68149169387
Ostrom E.,7003733473;,A general framework for analyzing sustainability of social-ecological systems,2009,Science,325,5939,,419,422,,3377,10.1126/science.1172133,https://www.scopus.com/inward/record.uri?eid=2-s2.0-67749104823&doi=10.1126%2fscience.1172133&partnerID=40&md5=e9e3a3a986695f81b193366fc936108a,"Workshop in Political Theory and Policy Analysis, Indiana University, Bloomington, IN 47408, United States; Center for the Study of Institutional Diversity, Arizona State University, Tempe, AZ 85287, United States","Ostrom, E., Workshop in Political Theory and Policy Analysis, Indiana University, Bloomington, IN 47408, United States, Center for the Study of Institutional Diversity, Arizona State University, Tempe, AZ 85287, United States","A major problem worldwide is the potential loss of fisheries, forests, and water resources. Understanding of the processes that lead to improvements in or deterioration of natural resources is limited, because scientific disciplines use different concepts and languages to describe and explain complex social-ecological systems (SESs). Without a common framework to organize findings, isolated knowledge does not cumulate. Until recently, accepted theory has assumed that resource users will never self-organize to maintain their resources and that governments must impose solutions. Research in multiple disciplines, however, has found that some government policies accelerate resource destruction, whereas some resource users have invested their time and energy to achieve sustainability. A general framework is used to identify 10 subsystem variables that affect the likelihood of self-organization in efforts to achieve a sustainable SES.",,biodiversity; ecological approach; natural resource; policy approach; resource use; self organization; sustainability; conceptual framework; ecosystem resilience; environmental factor; environmental protection; environmental sustainability; field study; fishery management; forest management; government; international cooperation; outcome assessment; priority journal; review; water management; Animals; Conservation of Natural Resources; Ecology; Humans; Public Policy; Social Environment; Sociology; Systems Theory,,,,,,,,,"Ostrom, E.; Workshop in Political Theory and Policy Analysis, , Bloomington, IN 47408, United States; email: ostrom@indiana.edu",,,,,,,,368075,,SCIEA,19628857,English,Science,Review,Final,,Scopus,2-s2.0-67749104823
"Taber F., Taylor N.",26642253500;7201546208;,Climate of concern - A search for effective strategies for teaching children about global warming,2009,International Journal of Environmental and Science Education,4,2,,97,116,,55,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-66549130467&partnerID=40&md5=8cbef2b4fbeefdd54e717fa60813730f,"The Armidale School, Armidale, NSW, Australia; University of New England, Armidale, NSW, Australia","Taber, F., The Armidale School, Armidale, NSW, Australia; Taylor, N., University of New England, Armidale, NSW, Australia","Recent research suggests that the issue of global warming is one of great concern for Australian children. This point to the need for effective teaching about this issue. Children should be properly informed about actions that help reduce carbon emissions as this may give them a sense of empowerment and go some way to alleviating concerns. This study followed the development in the knowledge of global warming of 29 primary school students in year 6 (the final year of primary) from two regional Australian schools over one school term. A hands-on science unit dealing specifically with global warming was prepared and taught over a period of eight weeks. A mixed methods approach was adopted and data was gathered through pre- and post-testing, through post intervention interviews. The findings of the study indicated that after the unit, students had a clearer understanding of the science of climate change, with the largest improvement in student knowledge occurring where the students had engaged in hands on activities or had effective visual aids. The data also indicated that an increase in knowledge was accompanied by an increase in levels concern in some cases. However, there was also an overall increase in students' belief about their ability to make a positive impact in relation to global warming and climate change. Copyright © 2009 IJESE.",Climate change; Effect size; Environmental knowledge; Global warming; Primary school students; Teaching intervention,,,,,,,,,,"Taylor, N.; University of New England, Armidale, NSW, Australia; email: ntaylor6@une.edu.au",,,,,,,,13063065,,,,English,Int. J. Environ. Sci. Educ.,Article,Final,,Scopus,2-s2.0-66549130467
"Porter T., Córdoba J.",36764708900;14065819800;,Three views of systems theories and their implications for sustainability education,2009,Journal of Management Education,33,3,,323,347,,80,10.1177/1052562908323192,https://www.scopus.com/inward/record.uri?eid=2-s2.0-65149104009&doi=10.1177%2f1052562908323192&partnerID=40&md5=ee86e3afe2110219df8b4227fe0707de,"University of Maine, United States; Royal Holloway, University of London, United Kingdom; University of Maine, Maine Business School, 5723 Donald P. Corbett Hall, Orono, ME 04469, United States","Porter, T., University of Maine, United States, University of Maine, Maine Business School, 5723 Donald P. Corbett Hall, Orono, ME 04469, United States; Córdoba, J., Royal Holloway, University of London, United Kingdom","Worldwide, there is an emerging interest in sustainability and sustainability education. A popular and promising approach is the use of systems thinking. However, the systems approach to sustainability has neither been clearly defined nor has its practical application followed any systematic rigor, resulting in confounded and underspecified recommendations. The purpose of this article is to extend the notion of systems thinking as it pertains to sustainability pedagogy. The authors draw from systems theory and other literatures to develop three broad approaches to systems thinking: functionalist, interpretive, and complex adaptive systems (CAS). Each perspective is examined regarding its conceptual underpinnings, implications for sustainability, and pedagogical goals, objectives, skills, and exemplar projects and activities. The authors' goal is to provide the reader with an immanently practical set of ideas and pedagogical tools that may be readily adopted by management educators in any discipline. © 2009 Organizational Behavior Teaching Society.",Complexity; Corporate social responsibility; Education.; Sustainability; Systems thinking,,,,,,,,,,"Porter, T.; University of Maine, , Orono, ME 04469, United States; email: terry.porter@maine.edu",,,,,,,,10525629,,,,English,J. Manage. Educ.,Article,Final,,Scopus,2-s2.0-65149104009
Locke S.,25230390500;,Environmental education for democracy and social justice in Costa Rica,2009,International Research in Geographical and Environmental Education,18,2,,97,110,,8,10.1080/10382040902861171,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649751450&doi=10.1080%2f10382040902861171&partnerID=40&md5=48e403ea84b490a7e6a13aa00759aecb,"Department of Elementary and Early Childhood Education, University of Wyoming Laramie, Wyoming, United States","Locke, S., Department of Elementary and Early Childhood Education, University of Wyoming Laramie, Wyoming, United States","This study focused on how democratic values and citizenship education are promoted through environmental education in Costa Rica. Data were collected through the examination of textbook and curriculum guides and interviews with classroom teachers. The qualitative study utilized Bowers' (2001) and Gruenewald's (2003) theories of eco-justice and critical place-based pedagogy to analyze Costa Rican elementary environmental education curriculum and its relationship to social justice and democracy. Findings suggest that the curriculum did promote environmental sensitivity and, to a lesser extent, democratic values and social justice. More importantly, the study found that the curriculum allowed teachers to become environmental advocates who encouraged their students to actively interrogate and analyze contradictions between the reality in their communities and official economic and environmental policies. © 2009Taylor & Francis.",Costa Rica; Critical place-based pedagogy; Democracy; Eco-justice; Environmental education,citizenship; democracy; environmental education; environmental policy; environmental values; social justice; Costa Rica,,,,,,,,,"Locke, S.; Department of Elementary and Early Childhood Education, , Wyoming, United States; email: slocke@uwyo.edu",,,,,,,,10382046,,,,English,Int. Res. Geogr. Environ. Educ.,Article,Final,,Scopus,2-s2.0-78649751450
Clarke P.,7401878269;,Sustainability and improvement: A problem 'of' education and 'for' education,2009,Improving Schools,12,1,,11,17,,6,10.1177/1365480208100242,https://www.scopus.com/inward/record.uri?eid=2-s2.0-63249130025&doi=10.1177%2f1365480208100242&partnerID=40&md5=cbdddea67e4ccda9ca57b193556f5eab,"St Mary's University College, London, United Kingdom; IQEA (Improving the Quality of Education for All), United Kingdom","Clarke, P., St Mary's University College, London, United Kingdom, IQEA (Improving the Quality of Education for All), United Kingdom","In this short discussion article I develop some earlier writing on the theme of education, improvement and sustainability (see references). It builds upon my primary criticism of the school improvement movement that it is accustomed to thinking of education as good in and of itself. As David Orr suggests candidly in his essay in the early 1990s, 'It is not education that will save us, but education of a certain kind (Orr, 1994/ 2004). My assertion is that the type of education that is being advanced through the school improvement movement is simply not the kind that we need to tackle some of the most pressing challenges we now face in the form of environmental change and the looming post-oil economy (Stern Review, 2006). © 2009 SAGE Publications.",Environment; Improvement; Learning communities; Sustainability,,,,,,,,,,"Clarke, P.; St Mary's University College, London, United Kingdom; email: paul.clarke@iqea.com",,,,,,,,13654802,,,,English,Improv. Sch.,Article,Final,,Scopus,2-s2.0-63249130025
"Chauhan S., das S.R., Rita N., Haigh M.",35182693000;35182614000;35183989000;7007051296;,Promoting Education for sustainability in a Vaishnava (Hindu) community,2009,Applied Environmental Education and Communication,8,2,,114,125,,5,10.1080/15330150903133702,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70349567243&doi=10.1080%2f15330150903133702&partnerID=40&md5=8f87f48d98700824bf6d9be3ef6a9e0a,"Bhaktivedanta Manor Temple Environment Committee, Aldenham, Watford, Herts, United Kingdom","Chauhan, S., Bhaktivedanta Manor Temple Environment Committee, Aldenham, Watford, Herts, United Kingdom; das, S.R., Bhaktivedanta Manor Temple Environment Committee, Aldenham, Watford, Herts, United Kingdom; Rita, N., Bhaktivedanta Manor Temple Environment Committee, Aldenham, Watford, Herts, United Kingdom; Haigh, M., Bhaktivedanta Manor Temple Environment Committee, Aldenham, Watford, Herts, United Kingdom","Education for a sustainable future aspires to increase pro-environmental behavior. This evaluates a project designed to help a British Vaishnava congregation reduce their ecological footprint by linking ""Karma to Climate Change."" It employs a tented educational experience fielded at major Hindu Festivals. Participants are guided through a linked series of spiritual and environmental exhibits, a questionnaire, and a reflective discussion, then encouraged to pledge to change one aspect of their life. Analyses of pledges from the 2007 Janmashtami Festival reveal a desire to improve on actions already initiated and to add small, easily achievable changes. © Taylor & Francis Group, LLC.",,,,,,,,,,,"Haigh, M.; Bhaktivedanta Manor Temple Environment Committee, Aldenham, Watford, Herts, WD25 8EZ, United Kingdom; email: mhaigh@brookes.ac.uk",,,,,,,,1533015X,,,,English,Appl. Environ. Educ. Commun.,Article,Final,,Scopus,2-s2.0-70349567243
"Segalàs J., Ferrer-Balas D., Svanström M., Lundqvist U., Mulder K.F.",24470120500;57201738921;7003696182;6701817556;7005187176;,What has to be learnt for sustainability? A comparison of bachelor engineering education competences at three European universities,2009,Sustainability Science,4,1,,17,27,,114,10.1007/s11625-009-0068-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-64449086665&doi=10.1007%2fs11625-009-0068-2&partnerID=40&md5=61c5e69ba1034e78b1c8bca632ab58bf,"UNESCO Chair of Sustainability, Technical University of Catalonia, Barcelona, Spain; Cities, Centre for sustainability, Technical University of Catalonia, Barcelona, Spain; Chalmers University of Technology, Göteborg 412 96, Sweden; Technology Dynamics and Sustainable Development, Delft University of Technology, Delft, Netherlands","Segalàs, J., UNESCO Chair of Sustainability, Technical University of Catalonia, Barcelona, Spain; Ferrer-Balas, D., Cities, Centre for sustainability, Technical University of Catalonia, Barcelona, Spain; Svanström, M., Chalmers University of Technology, Göteborg 412 96, Sweden; Lundqvist, U., Chalmers University of Technology, Göteborg 412 96, Sweden; Mulder, K.F., Technology Dynamics and Sustainable Development, Delft University of Technology, Delft, Netherlands","In a period of harmonisation of the higher education system in Europe, a question is if also learning about sustainability at the universities is converging and what advantages this may have. This paper is an effort to present and advance the work on describing desired sustainability competences for engineering Bachelor graduates in three technical universities (Chalmers in Sweden, DUT in The Netherlands and UPC-Barcelona in Spain) using the European Higher Education Area (EHEA) descriptors. The paper also sheds light on whether there is conformity or not in desired sustainability competences (or in how sustainable development (SD) competences are handled) at the three universities. For universities outside the EHEA, this paper gives hints on the type of sustainability competences that will be required from their first-cycle graduates should they want to continue with second-cycle studies within the EHEA. The results show that the three universities follow a similar pattern in the classification of the competences (Knowledge and understanding, Skills and abilities, and Attitudes) and that there are minor divergences with respect to the list of competences and the levels of learning that Bachelor students should have when graduating. Definition of competences is an area that needs development, and this paper is part of a learning process for the three universities. This study shows that there is improvement potential for all three universities when it comes to being explicit and exact in the description of the desired SD learning. © Integrated Research System for Sustainability Science and Springer 2009.",Competences; Education; Engineering; Europe; Sustainability,,,,,,"Styrelsen för Internationellt Utvecklingssamarbete, Sida","The universities in Sweden are working independently on ESD issues, but there are conferences and networks that can be used for exchange of experiences. The Swedish Agency for Higher Education arranges an annual national quality conference in which ESD is a natural part. Another relevant annual national conference is organised by the Swedish Research Association for SD (in short VHU), which was founded in February in 2004. The aim of VHU is to create a forum for discussion, interaction and cooperation among active scientists as well as individuals and organisations in society. A Swedish network, HU2, was initiated in 2006 with the aim of integrating SD in higher education. The network invites anyone working within education and organisation at universities, as well as relevant authorities and student organiations, and there is an ambition to have a meeting every half year. A project (NLHU2) about SD learning outcomes for the first and second cycles has been conducted in connection to the network. In January 2008, a Swedish International Centre of Education for SD (SWEDESD3) was started. The Centre is financed by the Swedish International Development Cooperation Agency (SIDA), and its purpose is to facilitate and support education and learning in the field of SD.",,,"Segalàs, J.; UNESCO Chair of Sustainability, , Barcelona, Spain; email: jordi.segalas@upc.edu",,,,,,,,18624065,,,,English,Sustainability Sci.,Article,Final,"All Open Access, Green",Scopus,2-s2.0-64449086665
"George D., Clewett J., Birch C., Wright A., Allen W.",8297837400;15755430700;7006122240;36794682800;57208998159;,A professional development climate course for sustainable agriculture in Australia,2009,Environmental Education Research,15,4,,417,441,,8,10.1080/13504620902946978,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84981277586&doi=10.1080%2f13504620902946978&partnerID=40&md5=a634670575d9042a11a7a45a0570c853,"World Bank, Washington, United States; Agroclim Australia, Highfields, QLD, Australia; Tasmanian Institute of Agricultural Research, The University of Tasmania, TAS, Australia; The University of Queensland, Queensland, Australia; AgForce Queensland, Brisbane, QLD, Australia","George, D., World Bank, Washington, United States; Clewett, J., Agroclim Australia, Highfields, QLD, Australia; Birch, C., Tasmanian Institute of Agricultural Research, The University of Tasmania, TAS, Australia; Wright, A., The University of Queensland, Queensland, Australia; Allen, W., AgForce Queensland, Brisbane, QLD, Australia","There are few professional development courses in Australia for the rural sector concerned with climate variability, climate change and sustainable agriculture. The lack of educators with a sound technical background in climate science and its applications in agriculture prevents the delivery of courses either stand-alone or embedded in other courses, and adversely affects the ability of graduating students to apply climate information. This paper presents evidence from a professional development climate course with 20 professional educators and consultants and results from: surveys at the training workshop; from a questionnaire 12 months post-workshop; and a combined interview and survey two years post-workshop. The key finding was that professional development courses specifically addressing climate are essential, while topics should include climate and weather, the impacts of climate on agricultural systems, strategic thinking and planning options available for business. A project undertaken by professionals delivering climate education helped to improve their skills and confidence to deliver other stand-alone climate courses or to embed climate in existing courses. The paper proposes that a suitable resource manual should be ‘problem-based’ in its design to allow for a broad range of geographic climates, and should address a wide range of agricultural enterprises including livestock production, horticulture and cropping. The authors also propose ways to introduce and integrate applied climate knowledge and skills into the wider community. Possible progress for inter-disciplinary education and the implications from enhancing learning about climate for sustainable agriculture are discussed. © 2009, Taylor & Francis Group, LLC.",climate; climate change; education for sustainable development; professional development; sustainable development,,,,,,,,,,"George, D.; World Bank, Washington, United States; email: dgeorge@worldbank.org",,,,,,,,13504622,,,,English,Environ. Educ. Res.,Article,Final,,Scopus,2-s2.0-84981277586
